epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5631,1.63774,3.59462,1.61167,0.01527,0.39344,0.02267,0.01199,1.56322,3.38089,1.51485,5.716e-05,5.716e-05,5.716e-05
2,14.2254,1.62294,3.54528,1.5961,0.02551,0.45882,0.0919,0.04938,1.46932,3.30297,1.36432,0.000124366,0.000124366,0.000124366
3,17.6895,1.53822,3.22504,1.45088,0.03082,0.5991,0.19039,0.09931,1.52174,3.213,1.32602,0.000186856,0.000186856,0.000186856
4,20.1217,1.50094,2.76923,1.35579,0.0316,0.62217,0.2601,0.1416,1.51125,3.15452,1.29947,0.000244631,0.000244631,0.000244631
5,22.5264,1.49152,2.52055,1.31561,0.03712,0.67149,0.32863,0.17771,1.41593,3.0894,1.25438,0.000297689,0.000297689,0.000297689
6,25.0504,1.48883,2.17442,1.32444,0.04058,0.76075,0.40768,0.21118,1.44897,3.01571,1.27044,0.000346032,0.000346032,0.000346032
7,28.2524,1.45666,1.92295,1.36361,0.04165,0.77195,0.53689,0.29198,1.50123,2.90851,1.31422,0.00038966,0.00038966,0.00038966
8,31.4272,1.46744,1.63078,1.33679,0.03908,0.77545,0.59476,0.32075,1.55937,2.87245,1.38418,0.000428571,0.000428571,0.000428571
9,33.762,1.53747,1.59425,1.34316,0.95717,0.13663,0.58866,0.33323,1.60596,2.82488,1.44,0.000462767,0.000462767,0.000462767
10,36.2663,1.50284,1.42415,1.32023,0.94939,0.27058,0.5076,0.27047,1.67295,2.92456,1.56935,0.000492248,0.000492248,0.000492248
11,38.6768,1.45734,1.43776,1.35697,1,0.0845,0.45416,0.24683,1.73596,2.90965,1.66074,0.000517012,0.000517012,0.000517012
12,41.1022,1.47613,1.29018,1.31951,0.97608,0.1533,0.53024,0.30514,1.67778,2.77312,1.60427,0.000537061,0.000537061,0.000537061
13,44.6241,1.4066,1.29164,1.31557,0.97691,0.18293,0.56699,0.33979,1.61806,2.69844,1.54094,0.000552394,0.000552394,0.000552394
14,47.3311,1.32957,1.1634,1.27493,0.9771,0.3231,0.64278,0.37758,1.64237,2.49215,1.51649,0.000563012,0.000563012,0.000563012
15,49.6402,1.36334,1.15151,1.26247,0.95036,0.47756,0.70857,0.40119,1.6343,2.2398,1.50573,0.000568913,0.000568913,0.000568913
16,52.0216,1.32907,1.11985,1.24524,0.93683,0.50785,0.72994,0.41977,1.61296,2.1453,1.48068,0.0005701,0.0005701,0.0005701
17,54.2532,1.33311,1.17267,1.27299,0.89957,0.63337,0.76507,0.44058,1.57871,1.89773,1.43638,0.00056657,0.00056657,0.00056657
18,57.6638,1.35372,1.14717,1.26432,0.87351,0.65995,0.78505,0.43768,1.60515,1.81969,1.44676,0.000558325,0.000558325,0.000558325
19,60.4389,1.34841,1.15633,1.27701,0.88821,0.64552,0.77641,0.44551,1.59644,1.79519,1.43738,0.000545364,0.000545364,0.000545364
20,62.848,1.30641,1.06106,1.25244,0.89512,0.66592,0.78894,0.44551,1.58673,1.68276,1.43291,0.000527687,0.000527687,0.000527687
21,67.4843,1.30045,1.20327,1.28575,0.8717,0.66079,0.78364,0.44218,1.55998,1.65682,1.4337,0.00048586,0.00048586,0.00048586
22,70.594,1.25339,1.16982,1.21187,0.8602,0.667,0.77607,0.44808,1.5506,1.61511,1.41806,0.000438703,0.000438703,0.000438703
23,73.9244,1.22442,1.11057,1.22872,0.86785,0.68598,0.78403,0.4649,1.53907,1.53262,1.39543,0.000391546,0.000391546,0.000391546
24,76.3395,1.23955,1.07593,1.22162,0.89938,0.71022,0.81655,0.47803,1.51652,1.42447,1.38794,0.000344389,0.000344389,0.000344389
25,78.6562,1.18694,1.07453,1.20556,0.89313,0.72715,0.81543,0.48369,1.51251,1.40007,1.38391,0.000297232,0.000297232,0.000297232
26,80.974,1.19002,1.03897,1.19592,0.88299,0.731,0.81131,0.48561,1.49549,1.38602,1.37876,0.000250075,0.000250075,0.000250075
27,83.219,1.19094,1.03288,1.19979,0.88439,0.72715,0.81275,0.48488,1.48307,1.38641,1.37997,0.000202918,0.000202918,0.000202918
28,86.2999,1.18554,1.02481,1.18721,0.87955,0.71262,0.79548,0.48679,1.49462,1.40166,1.39432,0.000155761,0.000155761,0.000155761
29,89.2125,1.19026,0.99226,1.16969,0.91991,0.7009,0.80551,0.48504,1.49026,1.37119,1.39517,0.000108604,0.000108604,0.000108604
30,91.7454,1.15977,0.95606,1.17178,0.92025,0.70234,0.82133,0.49379,1.48781,1.32995,1.39137,6.1447e-05,6.1447e-05,6.1447e-05
