epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.67229,1.07428,0.8695,1.22101,0.88502,0.53581,0.63253,0.38474,1.46546,2.17438,1.43363,0.00017,0.00017,0.00017
2,14.8647,1.10284,0.83437,1.21187,0.86888,0.53527,0.60839,0.3638,1.46034,2.38908,1.44535,0.00034307,0.00034307,0.00034307
3,21.6481,1.08817,0.84637,1.22987,0.87755,0.48475,0.57591,0.35107,1.50389,2.23459,1.44992,0.000509012,0.000509012,0.000509012
4,28.3545,1.12028,0.85862,1.24359,0.86143,0.52311,0.59624,0.36308,1.49583,2.45459,1.48226,0.000667826,0.000667826,0.000667826
5,35.1477,1.09095,0.85889,1.25774,0.83409,0.49298,0.61146,0.36291,1.52466,2.5278,1.50447,0.000819512,0.000819512,0.000819512
6,41.5445,1.12202,0.8647,1.25658,0.88349,0.48241,0.60367,0.36851,1.48803,2.42863,1.4728,0.000901,0.000901,0.000901
7,47.4885,1.15974,0.90338,1.23938,0.70133,0.48371,0.56914,0.34195,1.51599,2.56887,1.487,0.0008812,0.0008812,0.0008812
8,54.1519,1.11931,0.9091,1.23126,0.83812,0.46431,0.53783,0.30778,1.54418,2.55071,1.55301,0.0008614,0.0008614,0.0008614
9,59.8078,1.13305,0.88573,1.24656,0.75489,0.53932,0.58961,0.36345,1.49862,2.5432,1.51635,0.0008416,0.0008416,0.0008416
10,67.2088,1.11105,0.83187,1.24644,0.79886,0.52579,0.58542,0.3498,1.49781,2.62374,1.51376,0.0008218,0.0008218,0.0008218
11,73.0786,1.13176,0.85592,1.24548,0.96472,0.48493,0.57099,0.3507,1.46816,2.88669,1.45896,0.000802,0.000802,0.000802
12,80.8136,1.08049,0.82693,1.23775,0.83538,0.45566,0.57375,0.36424,1.47388,2.57657,1.44878,0.0007822,0.0007822,0.0007822
13,86.4998,1.08586,0.84349,1.22698,0.97014,0.46822,0.59598,0.36324,1.51253,2.38141,1.49049,0.0007624,0.0007624,0.0007624
14,93.9944,1.08859,0.81555,1.23273,0.7991,0.53801,0.61797,0.35942,1.51827,2.40578,1.51024,0.0007426,0.0007426,0.0007426
15,99.6681,1.09105,0.8201,1.24577,0.83893,0.51249,0.61214,0.37949,1.48522,2.18744,1.47943,0.0007228,0.0007228,0.0007228
16,106.338,1.13491,0.79375,1.23119,0.75555,0.47183,0.53929,0.33757,1.48051,2.47605,1.44714,0.000703,0.000703,0.000703
17,112.771,1.0798,0.7701,1.20312,0.7863,0.47568,0.55258,0.3515,1.4415,2.52117,1.41664,0.0006832,0.0006832,0.0006832
18,118.855,1.04676,0.74243,1.21653,0.89937,0.52715,0.61913,0.37954,1.47656,2.2922,1.47068,0.0006634,0.0006634,0.0006634
19,125.629,1.07845,0.75029,1.18783,0.90306,0.50231,0.58819,0.36773,1.4363,2.51809,1.41141,0.0006436,0.0006436,0.0006436
20,131.143,1.01472,0.74187,1.19497,0.87569,0.49092,0.60584,0.374,1.48603,2.59284,1.44362,0.0006238,0.0006238,0.0006238
21,138.304,1.06494,0.76886,1.22843,0.72606,0.51278,0.58077,0.35535,1.49995,2.55499,1.49113,0.000604,0.000604,0.000604
22,144.172,1.041,0.70923,1.19647,0.78379,0.53065,0.60725,0.38023,1.49978,2.5582,1.461,0.0005842,0.0005842,0.0005842
23,151.562,1.0523,0.74317,1.19232,0.93749,0.4648,0.62122,0.40159,1.4749,2.24725,1.4634,0.0005644,0.0005644,0.0005644
24,157.309,1.02072,0.70503,1.18552,0.8486,0.54209,0.61225,0.38385,1.46283,2.42432,1.4752,0.0005446,0.0005446,0.0005446
25,164.735,1.00124,0.7088,1.17755,0.82632,0.46753,0.57137,0.36257,1.51222,2.6853,1.48301,0.0005248,0.0005248,0.0005248
26,170.729,0.98697,0.67962,1.15793,0.78301,0.5489,0.58968,0.37073,1.43627,2.55811,1.44916,0.000505,0.000505,0.000505
27,176.768,0.99148,0.71706,1.16798,0.78152,0.54411,0.56934,0.33954,1.48852,2.57577,1.49119,0.0004852,0.0004852,0.0004852
28,183.32,1.06624,0.72431,1.20272,0.88862,0.5345,0.60341,0.35623,1.48434,2.54067,1.47271,0.0004654,0.0004654,0.0004654
29,188.921,1.03144,0.70041,1.20007,0.8515,0.54955,0.60794,0.37784,1.47697,2.52411,1.45967,0.0004456,0.0004456,0.0004456
30,196.18,1.06748,0.69048,1.20017,0.88686,0.5272,0.61773,0.37017,1.52382,2.52903,1.49459,0.0004258,0.0004258,0.0004258
31,201.635,1.01366,0.67039,1.16509,0.87787,0.531,0.60038,0.37236,1.48551,2.43101,1.45696,0.000406,0.000406,0.000406
32,208.767,1.01216,0.68222,1.16854,0.91194,0.5481,0.6394,0.39661,1.46575,2.6062,1.45428,0.0003862,0.0003862,0.0003862
33,214.286,1.03632,0.71726,1.21257,0.93713,0.51389,0.62473,0.39517,1.44816,2.47605,1.42632,0.0003664,0.0003664,0.0003664
34,222.056,1.01738,0.6859,1.1795,0.70594,0.53169,0.59855,0.37081,1.44596,2.44271,1.43002,0.0003466,0.0003466,0.0003466
35,228.067,0.99502,0.65808,1.17464,0.82004,0.55242,0.61473,0.38034,1.43721,2.43741,1.42956,0.0003268,0.0003268,0.0003268
36,234.221,1.0052,0.65661,1.15573,0.87163,0.55382,0.63347,0.39231,1.4297,2.4369,1.41909,0.000307,0.000307,0.000307
37,241.008,0.99973,0.66948,1.16779,0.84249,0.54838,0.63228,0.38612,1.45951,2.50677,1.43622,0.0002872,0.0002872,0.0002872
38,246.587,0.96426,0.64521,1.17204,0.89398,0.55584,0.63679,0.39616,1.43129,2.46219,1.4243,0.0002674,0.0002674,0.0002674
39,253.799,0.96341,0.62679,1.16098,0.96535,0.51536,0.62698,0.39805,1.41241,2.41767,1.42265,0.0002476,0.0002476,0.0002476
40,259.498,0.9237,0.6124,1.13745,0.92907,0.53575,0.62551,0.39123,1.40669,2.41659,1.42686,0.0002278,0.0002278,0.0002278
41,268.605,0.91751,0.61638,1.15892,0.91582,0.54975,0.63068,0.40221,1.42028,2.38132,1.43429,0.000208,0.000208,0.000208
42,274.107,0.8909,0.59023,1.13919,0.91827,0.54836,0.63027,0.39503,1.42593,2.38524,1.42717,0.0001882,0.0001882,0.0001882
43,281.327,0.9063,0.5781,1.1334,0.88386,0.54843,0.6283,0.38749,1.43434,2.41815,1.43357,0.0001684,0.0001684,0.0001684
44,286.643,0.87989,0.55488,1.11639,0.8894,0.53694,0.61497,0.38831,1.42885,2.40519,1.434,0.0001486,0.0001486,0.0001486
45,293.604,0.88631,0.54966,1.13308,0.86287,0.56102,0.62427,0.38844,1.44434,2.41643,1.44326,0.0001288,0.0001288,0.0001288
46,298.837,0.88,0.58087,1.12388,0.80785,0.56502,0.62877,0.39196,1.43589,2.41428,1.43466,0.000109,0.000109,0.000109
47,304.309,0.87067,0.55322,1.11951,0.84478,0.55375,0.62724,0.39287,1.44311,2.43222,1.43424,8.92e-05,8.92e-05,8.92e-05
48,311.249,0.83729,0.53393,1.12355,0.91183,0.53331,0.62301,0.39131,1.44817,2.46778,1.43675,6.94e-05,6.94e-05,6.94e-05
49,316.743,0.82268,0.53744,1.11044,0.89751,0.54914,0.62889,0.39471,1.44387,2.46294,1.4393,4.96e-05,4.96e-05,4.96e-05
50,323.634,0.85828,0.55868,1.12901,0.8338,0.58281,0.63409,0.39549,1.44565,2.46217,1.44563,2.98e-05,2.98e-05,2.98e-05
